mode,row_index,docx_render_s,word_convert_s,signature_s,delete_temp_s,total_s,kept_docx
docx_only,0,0.08723830000963062,0.0,0.0,0.0,0.087241500033997,False
docx_only,1,0.05457309994380921,0.0,0.0,0.0,0.05458389990963042,False
docx_only,2,0.06031059997621924,0.0,0.0,0.0,0.06031359999906272,False
docx_only,3,0.04804130003321916,0.0,0.0,0.0,0.04804460005834699,False
docx_only,4,0.04838469997048378,0.0,0.0,0.0,0.0483896000077948,False
docx_only,5,0.05009319994132966,0.0,0.0,0.0,0.05009789997711778,False
docx_only,6,0.04457130003720522,0.0,0.0,0.0,0.0445747000630945,False
docx_only,7,0.05140959995333105,0.0,0.0,0.0,0.05141289997845888,False
docx_only,8,0.043432599981315434,0.0,0.0,0.0,0.04343609989155084,False
docx_only,9,0.05038739996962249,0.0,0.0,0.0,0.050393000012263656,False
docx_only,0,0.052691000048071146,0.0,0.0,0.0,0.052695399965159595,False
docx_only,1,0.06749199994374067,0.0,0.0,0.0,0.06749980000313371,False
docx_only,2,0.0764465999091044,0.0,0.0,0.0,0.07645049993880093,False
docx_only,3,0.06795689999125898,0.0,0.0,0.0,0.06795990001410246,False
docx_only,4,0.05069430009461939,0.0,0.0,0.0,0.0506978000048548,False
docx_only,5,0.06504390004556626,0.0,0.0,0.0,0.06504800007678568,False
docx_only,6,0.06686560006346554,0.0,0.0,0.0,0.06686900008935481,False
docx_only,7,0.06900629994925112,0.0,0.0,0.0,0.06901269999798387,False
docx_only,8,0.060315199894830585,0.0,0.0,0.0,0.06031919992528856,False
docx_only,9,0.0645587999606505,0.0,0.0,0.0,0.06456560001242906,False
docx_only,10,0.05075419996865094,0.0,0.0,0.0,0.050757599994540215,False
docx_only,11,0.07931990001816303,0.0,0.0,0.0,0.0793269999558106,False
docx_only,12,0.07898920006118715,0.0,0.0,0.0,0.07899240008555353,False
docx_only,13,0.059771499945782125,0.0,0.0,0.0,0.0597750999731943,False
docx_only,14,0.05299290001858026,0.0,0.0,0.0,0.05299610004294664,False
